iter	RMSE
0	2.70924924
1	2.705394365
2	2.700517709
3	2.696917295
4	2.692746937
5	2.688205172
6	2.683581774
7	2.679198169
8	2.67576803
9	2.672010171
10	2.667904024
11	2.663355678
12	2.659123946
13	2.654965948
14	2.651095141
15	2.647420492
16	2.643922737
17	2.640497039
18	2.636912275
19	2.63329589
20	2.630097127
21	2.626562618
22	2.623566205
23	2.619949571
24	2.616272171
25	2.612939453
26	2.610043864
27	2.607271605
28	2.603917095
29	2.59987207
30	2.59712599
31	2.594565216
32	2.592165331
33	2.589618703
34	2.586600204
35	2.583751272
36	2.580672228
37	2.577801919
38	2.574526582
39	2.571882196
40	2.569570557
41	2.566500857
42	2.56338972
43	2.560607648
44	2.557820768
45	2.555409577
46	2.552962423
47	2.550955616
48	2.548221996
49	2.545956286
50	2.543829475
51	2.541388582
52	2.53891092
53	2.536952511
54	2.535077176
55	2.532543843
56	2.530087442
57	2.527726632
58	2.525400402
59	2.522910529
60	2.520265373
61	2.518073836
62	2.51553736
63	2.513450832
64	2.51095061
65	2.508823271
66	2.506659272
67	2.505006692
68	2.503051063
69	2.501137106
70	2.499027909
71	2.497039994
72	2.494911003
73	2.493040619
74	2.491317641
75	2.48960332
76	2.487668798
77	2.485640097
78	2.484228403
79	2.48205742
80	2.479971595
81	2.47832748
82	2.476468235
83	2.474677245
84	2.473022083
85	2.47135539
86	2.469987789
87	2.468590185
88	2.467127018
89	2.46581813
90	2.464334273
91	2.462906057
92	2.461518469
93	2.459691855
94	2.458501626
95	2.457311604
96	2.456178136
97	2.45448137
98	2.453298361
99	2.451992172
100	2.450302329
101	2.448942223
102	2.447968973
103	2.446672226
104	2.445414777
105	2.444418799
106	2.443374447
107	2.442235667
108	2.440809771
109	2.439419413
110	2.438312088
111	2.436966646
112	2.436031263
113	2.434920805
114	2.433537556
115	2.432446849
116	2.431458659
117	2.430456342
118	2.429810197
119	2.428406469
120	2.427366268
121	2.426297956
122	2.425317018
123	2.424467662
124	2.423174637
125	2.422302978
126	2.421264899
127	2.420100916
128	2.419399516
129	2.418365035
130	2.417118659
131	2.416217532
132	2.41541733
133	2.41432872
134	2.413329878
135	2.412047638
136	2.41097433
137	2.410175901
138	2.409284961
139	2.408279613
140	2.40724272
141	2.406449418
142	2.405709955
143	2.404784937
144	2.403947572
145	2.403069453
146	2.402247412
147	2.401147796
148	2.400041507
149	2.399191278
150	2.398352369
151	2.397969162
152	2.396931784
153	2.396090327
154	2.394948511
155	2.394023605
156	2.392898136
157	2.392185888
158	2.391625408
159	2.390759561
160	2.390199848
161	2.389474664
162	2.388859381
163	2.387851258
164	2.387263798
165	2.386244342
166	2.385495063
167	2.384784992
168	2.383984745
169	2.383352501
170	2.382679778
171	2.381897422
172	2.381094883
173	2.380359395
174	2.379347191
175	2.378478862
176	2.377596694
177	2.376879725
178	2.376176511
179	2.375669091
180	2.374891235
181	2.374203297
182	2.373153871
183	2.372364256
184	2.371508753
185	2.370930158
186	2.370101562
187	2.369618766
188	2.368520077
189	2.367801243
190	2.366984608
191	2.366332264
192	2.365528519
193	2.364533083
194	2.363860348
195	2.363064924
196	2.362360766
197	2.361609478
198	2.360888723
199	2.360520022
200	2.359471354
201	2.358753532
202	2.358197364
203	2.357470728
204	2.356483913
205	2.35563557
206	2.354998064
207	2.353995128
208	2.353301248
209	2.352712286
210	2.352117715
211	2.351670696
212	2.351202231
213	2.350821721
214	2.350516776
215	2.35005345
216	2.349616503
217	2.349004431
218	2.348405279
219	2.347947027
220	2.346964221
221	2.345928165
222	2.345656198
223	2.345028451
224	2.344280798
225	2.34363305
226	2.34349806
227	2.342673403
228	2.342186661
229	2.341379206
230	2.340724604
231	2.340044455
232	2.33950053
233	2.338960457
234	2.338524344
235	2.337835757
236	2.337228226
237	2.336322213
238	2.335537982
239	2.33494741
240	2.334520641
241	2.333979629
242	2.333322238
243	2.332942516
244	2.332177207
245	2.331745993
246	2.331277935
247	2.330753591
248	2.330191802
249	2.329824467
250	2.329210315
251	2.328766874
252	2.328148945
253	2.327717586
254	2.327123575
255	2.326593919
256	2.325871976
257	2.325349549
258	2.324593875
259	2.323636014
260	2.323150459
261	2.322731969
262	2.322395849
263	2.32190441
264	2.321345576
265	2.320740443
266	2.320321886
267	2.319890389
268	2.319664306
269	2.318978491
270	2.318437442
271	2.317597127
272	2.317141094
273	2.316587311
274	2.316059001
275	2.315557627
276	2.314968851
277	2.314220152
278	2.313931973
279	2.313252096
280	2.312719413
281	2.312266626
282	2.311716653
283	2.311181489
284	2.310768511
285	2.31046389
286	2.310136257
287	2.309570276
288	2.309110525
289	2.308677365
290	2.307999247
291	2.307721348
292	2.306986948
293	2.306543808
294	2.306059519
295	2.30539871
296	2.304898996
297	2.304198802
298	2.303653265
299	2.30307307
300	2.302452184
301	2.302325
302	2.302031961
303	2.300919385
304	2.300377816
305	2.299965605
306	2.299242328
307	2.298610433
308	2.297906343
309	2.297147041
310	2.296633974
311	2.296161956
312	2.295423348
313	2.295133813
314	2.294805967
315	2.294325753
316	2.294080468
317	2.293638898
318	2.292997704
319	2.2925419
320	2.292100215
321	2.291672376
322	2.291217392
323	2.29064994
324	2.290560609
325	2.290054674
326	2.28918677
327	2.288542505
328	2.288244226
329	2.287694611
330	2.287202286
331	2.286734481
332	2.286338205
333	2.28597055
