iter	Passed	Remaining
0	67	40323
1	69	20681
2	70	14091
3	73	10894
4	74	8889
5	76	7570
6	78	6668
7	80	5969
8	83	5462
9	84	5004
10	86	4625
11	88	4314
12	96	4345
13	98	4125
14	104	4063
15	105	3861
16	107	3683
17	113	3684
18	115	3541
19	217	6296
20	218	6036
21	221	5816
22	223	5603
23	226	5425
24	227	5239
25	229	5064
26	230	4901
27	232	4751
28	234	4626
29	239	4556
30	241	4439
31	243	4323
32	245	4217
33	247	4114
34	248	4016
35	322	5050
36	324	4940
37	326	4826
38	327	4716
39	336	4705
40	337	4605
41	339	4511
42	341	4419
43	343	4343
44	345	4258
45	346	4178
46	353	4154
47	355	4093
48	358	4033
49	361	3981
50	368	3970
51	370	3904
52	372	3841
53	373	3780
54	375	3724
55	381	3709
56	384	3660
57	389	3637
58	390	3584
59	392	3531
60	394	3482
61	398	3455
62	400	3412
63	401	3366
64	404	3333
65	414	3351
66	416	3315
67	420	3286
68	421	3245
69	425	3218
70	427	3184
71	429	3146
72	431	3111
73	432	3074
74	434	3041
75	436	3006
76	438	2976
77	440	2946
78	445	2935
79	446	2905
80	448	2875
81	450	2844
82	451	2814
83	454	2791
84	456	2765
85	459	2746
86	461	2719
87	468	2724
88	474	2722
89	476	2697
90	479	2681
91	481	2658
92	483	2634
93	492	2652
94	495	2632
95	498	2618
96	500	2596
97	502	2573
98	504	2553
99	557	2786
100	568	2809
101	571	2789
102	603	2912
103	609	2905
104	611	2881
105	631	2942
106	647	2983
107	676	3082
108	724	3263
109	729	3249
110	753	3319
111	842	3671
112	855	3686
113	876	3738
114	878	3706
115	882	3683
116	885	3655
117	887	3624
118	891	3601
119	896	3585
120	898	3554
121	899	3526
122	901	3496
123	903	3469
124	909	3456
125	912	3433
126	914	3405
127	916	3379
128	918	3352
129	926	3350
130	931	3334
131	932	3307
132	935	3285
133	937	3261
134	939	3236
135	942	3214
136	944	3191
137	946	3167
138	948	3144
139	949	3120
140	951	3097
141	953	3073
142	955	3052
143	958	3034
144	960	3013
145	967	3008
146	969	2987
147	973	2972
148	981	2969
149	982	2948
150	984	2926
151	986	2906
152	999	2918
153	1000	2897
154	1002	2877
155	1004	2857
156	1005	2837
157	1007	2817
158	1010	2803
159	1016	2795
160	1018	2776
161	1019	2757
162	1025	2748
163	1027	2731
164	1029	2714
165	1032	2698
166	1035	2683
167	1038	2671
168	1043	2661
169	1047	2649
170	1049	2631
171	1050	2615
172	1056	2608
173	1058	2591
174	1060	2574
175	1061	2558
176	1063	2541
177	1074	2546
178	1080	2540
179	1081	2524
180	1083	2508
181	1086	2495
182	1089	2481
183	1091	2467
184	1094	2455
185	1106	2462
186	1107	2446
187	1109	2431
188	1111	2416
189	1112	2401
190	1115	2389
191	1118	2375
192	1122	2366
193	1125	2354
194	1126	2340
195	1128	2326
196	1135	2322
197	1136	2308
198	1139	2295
199	1140	2281
200	1142	2267
201	1144	2254
202	1150	2250
203	1152	2237
204	1154	2225
205	1157	2213
206	1159	2202
207	1164	2193
208	1166	2181
209	1168	2169
210	1170	2157
211	1172	2145
212	1174	2133
213	1177	2123
214	1180	2114
215	1182	2102
216	1184	2089
217	1185	2077
218	1187	2065
219	1188	2053
220	1194	2049
221	1196	2037
222	1199	2027
223	1201	2016
224	1203	2005
225	1204	1993
226	1206	1981
227	1208	1971
228	1210	1960
229	1212	1951
230	1214	1940
231	1218	1932
232	1219	1921
233	1221	1911
234	1224	1901
235	1226	1890
236	1232	1887
237	1234	1877
238	1237	1869
239	1239	1859
240	1241	1848
241	1245	1842
242	1258	1848
243	1264	1844
244	1266	1834
245	1267	1824
246	1269	1814
247	1271	1804
248	1273	1794
249	1275	1785
250	1278	1777
251	1280	1768
252	1282	1758
253	1283	1748
254	1285	1738
255	1287	1729
256	1298	1732
257	1302	1726
258	1304	1717
259	1311	1714
260	1312	1704
261	1314	1695
262	1317	1688
263	1319	1679
264	1326	1677
265	1328	1667
266	1330	1659
267	1332	1650
268	1333	1640
269	1335	1631
270	1338	1625
271	1344	1621
272	1345	1612
273	1348	1604
274	1350	1596
275	1355	1590
276	1356	1582
277	1362	1577
278	1404	1615
279	1406	1607
280	1408	1598
281	1421	1603
282	1424	1595
283	1425	1586
284	1436	1587
285	1451	1593
286	1453	1585
287	1469	1592
288	1477	1589
289	1510	1614
290	1524	1618
291	1532	1616
292	1537	1611
293	1539	1602
294	1544	1596
295	1556	1599
296	1558	1590
297	1603	1625
298	1606	1617
299	1609	1609
300	1620	1610
301	1624	1602
302	1634	1602
303	1638	1595
304	1641	1587
305	1649	1584
306	1652	1576
307	1653	1567
308	1657	1561
309	1663	1556
310	1676	1558
311	1681	1551
312	1691	1551
313	1695	1544
314	1697	1535
315	1698	1526
316	1700	1517
317	1701	1509
318	1724	1519
319	1727	1511
320	1730	1503
321	1732	1495
322	1733	1486
323	1739	1481
324	1740	1473
325	1742	1464
326	1744	1456
327	1746	1448
328	1748	1440
329	1750	1432
330	1752	1424
331	1754	1416
332	1756	1408
333	1757	1399
334	1759	1392
335	1761	1384
336	1763	1376
337	1765	1368
338	1768	1361
339	1770	1353
340	1771	1345
341	1773	1337
342	1776	1330
343	1777	1323
344	1780	1316
345	1785	1310
346	1786	1302
347	1788	1295
348	1789	1287
349	1791	1279
350	1792	1271
351	1796	1265
352	1798	1258
353	1800	1251
354	1802	1244
355	1805	1237
356	1806	1229
357	1808	1222
358	1816	1219
359	1818	1212
360	1820	1204
361	1821	1197
362	1823	1190
363	1825	1183
364	1827	1176
365	1829	1169
366	1831	1162
367	1833	1155
368	1835	1148
369	1836	1141
370	1838	1134
371	1840	1127
372	1842	1121
373	1844	1114
374	1856	1113
375	1863	1110
376	1864	1103
377	1866	1096
378	1868	1089
379	1869	1082
380	1871	1075
381	1872	1068
382	1875	1062
383	1877	1056
384	1879	1049
385	1880	1042
386	1882	1035
387	1883	1029
388	1885	1022
389	1886	1015
390	1888	1009
391	1890	1003
392	1910	1006
393	1912	999
394	1913	993
395	1915	986
396	1916	979
397	1917	973
398	1919	966
399	1921	960
400	1924	954
401	1925	948
402	1927	942
403	1928	935
404	1930	929
405	1931	922
406	1932	916
407	1934	910
408	1936	904
409	1940	899
410	1948	896
411	1952	890
412	1953	884
413	1956	878
414	1960	873
415	1961	867
416	1963	861
417	1964	855
418	1967	849
419	1969	844
420	1970	837
421	1972	831
422	1973	825
423	1974	819
424	1975	813
425	1976	807
426	1977	801
427	1978	795
428	1980	789
429	1981	783
430	1983	777
431	1985	772
432	1986	766
433	1987	760
434	1989	754
435	1990	748
436	1991	742
437	1992	736
438	1993	731
439	1995	725
440	1996	719
441	1998	714
442	1999	708
443	2002	703
444	2003	697
445	2005	692
446	2006	686
447	2007	680
448	2008	675
449	2011	670
450	2013	665
451	2014	659
452	2015	653
453	2016	648
454	2017	643
455	2019	637
456	2020	632
457	2021	626
458	2023	621
459	2025	616
460	2027	611
461	2028	605
462	2029	600
463	2030	595
464	2031	589
465	2033	584
466	2034	579
467	2035	574
468	2038	569
469	2040	564
470	2041	559
471	2042	553
472	2043	548
473	2045	543
474	2046	538
475	2047	533
476	2048	528
477	2050	523
478	2051	518
479	2053	513
480	2055	508
481	2056	503
482	2058	498
483	2059	493
484	2060	488
485	2061	483
486	2063	478
487	2064	473
488	2066	469
489	2067	464
490	2070	459
491	2071	454
492	2072	449
493	2073	444
494	2074	440
495	2076	435
496	2078	430
497	2079	425
498	2081	421
499	2083	416
500	2084	411
501	2086	407
502	2087	402
503	2089	398
504	2091	393
505	2092	388
506	2093	384
507	2095	379
508	2096	374
509	2098	370
510	2099	365
511	2100	361
512	2102	356
513	2103	351
514	2104	347
515	2105	342
516	2106	338
517	2108	333
518	2109	329
519	2111	324
520	2112	320
521	2113	315
522	2115	311
523	2116	306
524	2117	302
525	2119	298
526	2121	293
527	2122	289
528	2123	285
529	2125	280
530	2126	276
531	2127	271
532	2129	267
533	2130	263
534	2132	259
535	2133	254
536	2135	250
537	2136	246
538	2137	241
539	2138	237
540	2139	233
541	2140	229
542	2141	224
543	2142	220
544	2143	216
545	2144	212
546	2145	207
547	2147	203
548	2149	199
549	2151	195
550	2152	191
551	2153	187
552	2154	183
553	2155	178
554	2156	174
555	2157	170
556	2158	166
557	2159	162
558	2161	158
559	2162	154
560	2164	150
561	2165	146
562	2166	142
563	2168	138
564	2170	134
565	2171	130
566	2172	126
567	2173	122
568	2174	118
569	2175	114
570	2177	110
571	2179	106
572	2180	102
573	2182	98
574	2183	94
575	2185	91
576	2186	87
577	2187	83
578	2191	79
579	2194	75
580	2196	71
581	2197	67
582	2199	64
583	2200	60
584	2202	56
585	2203	52
586	2205	48
587	2209	45
588	2211	41
589	2212	37
590	2216	33
591	2218	29
592	2232	26
593	2234	22
594	2236	18
595	2246	15
596	2247	11
597	2249	7
598	2250	3
599	2252	0
